F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX,PF,QF,PT,QT,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX
101,102,0.003,0.014,0.461,175,175,175,0,0,1,-180,180,7.83879068,-26.637224,-7.83705621,-23.8668772,0,0,0,0
101,103,0.055,0.211,0.057,175,175,175,0,0,1,-180,180,-0.575603395,14.6423275,0.734183126,-20.0717855,0,0,0,0
101,105,0.022,0.085,0.023,175,175,175,0,0,1,-180,180,52.7368104,0.201379411,-52.1779902,-0.535237474,0,0,0,0
102,104,0.033,0.127,0.034,175,175,175,0,0,1,-180,180,34.9392269,13.735236,-34.4982773,-15.660877,0,0,0,0
102,106,0.05,0.192,0.052,175,175,175,0,0,1,-180,180,43.8978262,-4.72752565,-43.0168344,2.49040472,0,0,0,0
103,109,0.031,0.119,0.032,175,175,175,0,0,1,-180,180,3.67324656,-15.5699322,-3.61031382,12.4886934,0,0,0,0
103,124,0.002,0.084,0,400,400,400,1.015,0,1,-180,180,-184.40743,-1.35828231,185.092536,30.1327461,0,0,0,0
104,109,0.027,0.104,0.028,175,175,175,0,0,1,-180,180,-39.5017227,0.660876959,39.9098272,-2.01389197,0,0,0,0
105,110,0.023,0.088,0.024,175,175,175,0,0,1,-180,180,-18.8220098,-13.4647625,18.9298374,11.2678967,0,0,0,0
106,110,0.014,0.061,2.459,175,175,175,0,0,1,-180,180,-92.9831656,-137.082453,94.1235021,-124.556218,0,0,0,0
107,108,0.016,0.061,0.017,175,175,175,0,0,1,-180,180,168.706285,19.7359123,-164.51375,-5.56765373,0,0,0,0
107,203,0.042,0.161,0.044,175,175,175,0,0,1,-180,180,61.2937089,4.77144416,-59.8427698,-3.91729775,0,0,0,0
108,109,0.043,0.165,0.045,175,175,175,0,0,1,-180,180,-10.5974437,-5.59948576,10.6486181,1.09854888,0,0,0,0
108,110,0.043,0.165,0.045,175,175,175,0,0,1,-180,180,4.11119364,-23.8328605,-3.91175271,19.7916762,0,0,0,0
109,111,0.002,0.084,0,400,400,400,1.03,0,1,-180,180,-93.7172009,-30.1999616,93.9123737,38.3972154,0,0,0,0
109,112,0.002,0.084,0,400,400,400,1.03,0,1,-180,180,-128.230931,-17.3733888,128.568031,31.5315893,0,0,0,0
110,111,0.002,0.084,0,400,400,400,1.015,0,1,-180,180,-134.371077,19.550431,134.71566,-5.07798065,0,0,0,0
110,112,0.002,0.084,0,400,400,400,1.015,0,1,-180,180,-169.770509,33.9462137,170.330697,-10.4183274,0,0,0,0
111,113,0.006,0.048,0.1,500,500,500,0,0,1,-180,180,-156.545658,3.59176296,157.944066,-3.03161669,0,0,0,0
111,114,0.005,0.042,0.088,500,500,500,0,0,1,-180,180,-72.0823757,-36.9109977,72.3780201,29.9561064,0,0,0,0
112,113,0.006,0.048,0.1,500,500,500,0,0,1,-180,180,-94.1607487,-23.4445434,94.691628,17.1402453,0,0,0,0
112,123,0.012,0.097,0.203,500,500,500,0,0,1,-180,180,-204.737979,2.33128152,209.59523,15.1882711,0,0,0,0
113,123,0.011,0.087,0.182,500,500,500,0,0,1,-180,180,-179.70009,8.09363097,183.050741,-1.36802568,0,0,0,0
113,215,0.01,0.075,0.158,500,500,500,0,0,1,-180,180,-117.935623,-0.204189969,119.241175,-7.06685695,0,0,0,0
114,116,0.005,0.059,0.082,500,500,500,0,0,1,-180,180,-266.37802,34.3614399,269.701435,-4.10185126,0,0,0,0
115,116,0.002,0.017,0.036,500,500,500,0,0,1,-180,180,14.5956687,-24.0300157,-14.5827896,20.2123502,0,0,0,0
115,121,0.006,0.049,0.103,500,500,500,0,0,1,-180,180,-177.032611,7.87973422,178.771927,-4.95331414,0,0,0,0
115,121,0.006,0.049,0.103,500,500,500,0,0,1,-180,180,-177.032611,7.87973422,178.771927,-4.95331414,0,0,0,0
115,124,0.007,0.052,0.109,500,500,500,0,0,1,-180,180,187.469551,36.269149,-185.092536,-30.1327461,0,0,0,0
116,117,0.003,0.026,0.055,500,500,500,0,0,1,-180,180,-240.849662,22.8653736,242.458247,-14.9560161,0,0,0,0
116,119,0.003,0.023,0.049,500,500,500,0,0,1,-180,180,40.7310138,21.0231935,-40.6701304,-25.8862585,0,0,0,0
117,118,0.002,0.014,0.03,500,500,500,0,0,1,-180,180,-111.104274,2.56644343,111.329239,-4.29395574,0,0,0,0
117,122,0.014,0.105,0.221,500,500,500,0,0,1,-180,180,-131.353973,12.3895726,133.628571,-19.656776,0,0,0,0
118,121,0.003,0.026,0.055,500,500,500,0,0,1,-180,180,-44.6646241,2.36268934,44.7196998,-7.94911498,0,0,0,0
118,121,0.003,0.026,0.055,500,500,500,0,0,1,-180,180,-44.6646241,2.36268934,44.7196998,-7.94911498,0,0,0,0
119,120,0.005,0.04,0.083,500,500,500,0,0,1,-180,180,-70.1649348,-5.55687073,70.3926774,-1.63008511,0,0,0,0
119,120,0.005,0.04,0.083,500,500,500,0,0,1,-180,180,-70.1649348,-5.55687073,70.3926774,-1.63008511,0,0,0,0
120,123,0.003,0.022,0.046,500,500,500,0,0,1,-180,180,-134.392677,-11.3699149,134.892072,9.99004948,0,0,0,0
120,123,0.003,0.022,0.046,500,500,500,0,0,1,-180,180,-134.392677,-11.3699149,134.892072,9.99004948,0,0,0,0
121,122,0.009,0.068,0.142,500,500,500,0,0,1,-180,180,-164.097482,22.6319854,166.371423,-21.1065934,0,0,0,0
123,217,0.01,0.074,0.155,500,500,500,0,0,1,-180,180,7.56985091,-8.72923147,-7.56465029,-8.31164416,0,0,0,0
201,202,0.003,0.014,0.461,175,175,175,0,0,1,-180,180,5.234734,-26.5330225,-5.2339542,-24.2885698,0,0,0,0
201,203,0.055,0.211,0.057,175,175,175,0,0,1,-180,180,-24.8412962,19.9335701,25.4147819,-23.832193,0,0,0,0
201,205,0.022,0.085,0.023,175,175,175,0,0,1,-180,180,53.6065602,6.33710924,-53.0215896,-6.57310906,0,0,0,0
202,204,0.033,0.127,0.034,175,175,175,0,0,1,-180,180,31.4894955,19.0662334,-31.0614406,-21.045414,0,0,0,0
202,206,0.05,0.192,0.052,175,175,175,0,0,1,-180,180,44.7444543,-0.495236825,-43.8339375,-1.62000414,0,0,0,0
203,209,0.031,0.119,0.032,175,175,175,0,0,1,-180,180,38.7939334,-12.0787274,-38.3117756,10.6049461,0,0,0,0
203,224,0.002,0.084,0,400,400,400,1.015,0,1,-180,180,-184.365945,2.82821817,185.041216,25.5331651,0,0,0,0
204,209,0.027,0.104,0.028,175,175,175,0,0,1,-180,180,-42.9385594,6.04541403,43.4361967,-7.02835421,0,0,0,0
205,210,0.023,0.088,0.024,175,175,175,0,0,1,-180,180,-17.9784104,-7.42689094,18.0561486,5.13780437,0,0,0,0
206,210,0.014,0.061,2.459,175,175,175,0,0,1,-180,180,-92.1660625,-131.961785,93.2930449,-126.636343,0,0,0,0
207,208,0.016,0.061,0.017,175,175,175,0,0,1,-180,180,-15.0001563,12.9999439,15.0708153,-14.3196701,0,0,0,0
208,209,0.043,0.165,0.045,175,175,175,0,0,1,-180,180,-101.322114,0.222600537,106.077228,13.592743,0,0,0,0
208,210,0.043,0.165,0.045,175,175,175,0,0,1,-180,180,-84.748701,-20.9029305,88.2375551,29.753849,0,0,0,0
209,211,0.002,0.084,0,400,400,400,1.03,0,1,-180,180,-125.38167,-35.4149631,125.727822,49.9533407,0,0,0,0
209,212,0.002,0.084,0,400,400,400,1.03,0,1,-180,180,-160.819979,-17.7543719,161.353809,40.1752635,0,0,0,0
210,211,0.002,0.084,0,400,400,400,1.015,0,1,-180,180,-179.297026,15.9760565,179.911005,9.81107095,0,0,0,0
210,212,0.002,0.084,0,400,400,400,1.015,0,1,-180,180,-215.289723,35.7686328,216.192218,2.13617853,0,0,0,0
211,213,0.006,0.048,0.1,500,500,500,0,0,1,-180,180,-218.993821,-13.7150682,221.718882,24.715547,0,0,0,0
211,214,0.005,0.042,0.088,500,500,500,0,0,1,-180,180,-86.6450061,-46.0493434,87.0809868,40.2075714,0,0,0,0
212,213,0.006,0.048,0.1,500,500,500,0,0,1,-180,180,-152.095385,-49.6591932,153.549892,50.6033718,0,0,0,0
212,223,0.012,0.097,0.203,500,500,500,0,0,1,-180,180,-225.450642,7.34775113,231.375723,18.8421443,0,0,0,0
213,223,0.011,0.087,0.182,500,500,500,0,0,1,-180,180,-175.268793,24.9319683,178.455718,-19.7917844,0,0,0,0
214,216,0.005,0.059,0.082,500,500,500,0,0,1,-180,180,-281.080987,46.0761651,284.780149,-11.4433524,0,0,0,0
215,216,0.002,0.017,0.036,500,500,500,0,0,1,-180,180,4.47191206,-24.7531966,-4.46200627,20.9024154,0,0,0,0
215,221,0.006,0.049,0.103,500,500,500,0,0,1,-180,180,-184.050219,11.2125536,185.931728,-7.13444544,0,0,0,0
215,221,0.006,0.049,0.103,500,500,500,0,0,1,-180,180,-184.050219,11.2125536,185.931728,-7.13444544,0,0,0,0
215,224,0.007,0.052,0.109,500,500,500,0,0,1,-180,180,187.387332,31.392816,-185.041216,-25.5331651,0,0,0,0
216,217,0.003,0.026,0.055,500,500,500,0,0,1,-180,180,-248.076767,24.5406294,249.780789,-15.8172996,0,0,0,0
