GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF
101,8,4.96,10,0,1.0468,100,1,20,8,0,0,0,0,0,0,3,3,3,3,0
101,8,4.96,10,0,1.0468,100,1,20,8,0,0,0,0,0,0,3,3,3,3,0
101,76,0.14,30,-25,1.0468,100,1,76,30,0,0,0,0,0,0,2,2,2,2,0
101,76,0.14,30,-25,1.0468,100,1,76,30,0,0,0,0,0,0,2,2,2,2,0
102,8,4.88,10,0,1.0467,100,1,20,8,0,0,0,0,0,0,3,3,3,3,0
102,8,4.88,10,0,1.0467,100,1,20,8,0,0,0,0,0,0,3,3,3,3,0
102,76,-2.31,30,-25,1.0467,100,1,76,30,0,0,0,0,0,0,2,2,2,2,0
102,76,-2.31,30,-25,1.0467,100,1,76,30,0,0,0,0,0,0,2,2,2,2,0
107,355,49.51,150,-25,1.05,100,1,355,170,0,0,0,0,0,0,4.14,4.14,4.14,4.14,0
113,-98.97,19,19,-15,1.0347,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0
113,55,19,19,-15,1.0347,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0
113,55,19,19,-15,1.0347,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0
113,55,19,19,-15,1.0347,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0
115,5,6,6,0,1.0428,100,1,12,5,0,0,0,0,0,0,1,1,1,1,0
115,5,6,6,0,1.0428,100,1,12,5,0,0,0,0,0,0,1,1,1,1,0
115,155,80,80,-50,1.0428,100,1,155,62,0,0,0,0,0,0,3,3,3,3,0
116,155,80,80,-50,1.0461,100,1,155,62,0,0,0,0,0,0,3,3,3,3,0
118,355,68.43,150,-25,1.05,100,1,355,170,0,0,0,0,0,0,4.14,4.14,4.14,4.14,0
123,155,-5.19,80,-50,1.05,100,1,155,62,0,0,0,0,0,0,3,3,3,3,0
123,350,28.41,150,-25,1.05,100,1,350,140,0,0,0,0,0,0,4,4,4,4,0
123,55,0.62,19,-15,1.05,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0
123,55,0.62,19,-15,1.05,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0
123,55,0.62,19,-15,1.05,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0
201,8,5.29,10,0,1.05,100,1,20,8,0,0,0,0,0,0,3,3,3,3,0
201,8,5.29,10,0,1.05,100,1,20,8,0,0,0,0,0,0,3,3,3,3,0
201,76,6.99,30,-25,1.05,100,1,76,30,0,0,0,0,0,0,2,2,2,2,0
202,8,5.13,10,0,1.05,100,1,20,8,0,0,0,0,0,0,3,3,3,3,0
202,8,5.13,10,0,1.05,100,1,20,8,0,0,0,0,0,0,3,3,3,3,0
202,76,2.01,30,-25,1.05,100,1,76,30,0,0,0,0,0,0,2,2,2,2,0
202,76,2.01,30,-25,1.05,100,1,76,30,0,0,0,0,0,0,2,2,2,2,0
207,55,19,19,-15,0.9699,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0
207,55,19,19,-15,0.9699,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0
213,355,135.8,150,-25,1.05,100,1,355,170,0,0,0,0,0,0,4.14,4.14,4.14,4.14,0
213,55,9.23,19,-15,1.05,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0
213,55,9.23,19,-15,1.05,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0
215,55,19,19,-15,1.0437,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0
215,55,19,19,-15,1.0437,100,1,55,22,0,0,0,0,0,0,3.7,3.7,3.7,3.7,0
216,155,80,80,-50,1.0473,100,1,155,62,0,0,0,0,0,0,3,3,3,3,0
218,355,60.3,150,-25,1.05,100,1,355,170,0,0,0,0,0,0,4.14,4.14,4.14,4.14,0
221,296.97,-7.52,150,-25,1.05,100,1,355,170,0,0,0,0,0,0,4.14,4.14,4.14,4.14,0
