MODEL,STARTUP,SHUTDOWN,NCOST,X1,Y1,X2,Y2,X3,Y3,X4,Y4
1,51.747,51.747,4,8,1085.77625,12,1477.23196,16,1869.51562,20,2298.06357
1,51.747,51.747,4,8,1085.77625,12,1477.23196,16,1869.51562,20,2298.06357
1,11172.0143,11172.0143,4,30,841.57942,45.33333,1059.17805,60.66667,1319.40176,76,1596.51343
1,11172.0143,11172.0143,4,30,841.57942,45.33333,1059.17805,60.66667,1319.40176,76,1596.51343
1,51.747,51.747,4,8,1212.03893,12,1567.9341,16,1946.59795,20,2344.92565
1,51.747,51.747,4,8,1212.03893,12,1567.9341,16,1946.59795,20,2344.92565
1,11172.0143,11172.0143,4,30,735.09774,45.33333,1018.2061,60.66667,1337.84562,76,1683.0926
1,11172.0143,11172.0143,4,30,735.09774,45.33333,1018.2061,60.66667,1337.84562,76,1683.0926
1,28046.681,28046.681,4,170,4772.49548,231.66667,6203.57553,293.33333,7855.66994,355,9738.3672
1,5665.23443,5665.23443,4,22,1122.43477,33,1417.43201,44,1742.48912,55,2075.88432
1,5665.23443,5665.23443,4,22,1122.43477,33,1417.43201,44,1742.48912,55,2075.88432
1,5665.23443,5665.23443,4,22,1122.43477,33,1417.43201,44,1742.48912,55,2075.88432
1,5665.23443,5665.23443,4,22,1122.43477,33,1417.43201,44,1742.48912,55,2075.88432
1,703.7592,703.7592,4,5,897.29298,7.33333,1187.80064,9.66667,1479.58817,12,1791.41904
1,703.7592,703.7592,4,5,897.29298,7.33333,1187.80064,9.66667,1479.58817,12,1791.41904
1,22784.7956,22784.7956,4,62,1500.19723,93,2132.59734,124,2829.8758,155,3668.4449
1,22784.7956,22784.7956,4,62,1735.06998,93,2345.3197,124,3011.01092,155,3751.14842
1,28046.681,28046.681,4,170,4795.62444,231.66667,6187.87116,293.33333,7899.41412,355,9901.2482
1,22784.7956,22784.7956,4,62,1437.41596,93,2039.7361,124,2751.75964,155,3775.85462
1,36749.8136,36749.8136,4,140,3582.87481,210,4981.72313,280,6497.03117,350,8137.67767
1,5665.23443,5665.23443,4,22,1088.22724,33,1377.15264,44,1704.98911,55,2046.97895
1,5665.23443,5665.23443,4,22,1088.22724,33,1377.15264,44,1704.98911,55,2046.97895
1,5665.23443,5665.23443,4,22,1088.22724,33,1377.15264,44,1704.98911,55,2046.97895
1,51.747,51.747,4,8,1157.22851,12,1487.12598,16,1822.73633,20,2269.08525
1,51.747,51.747,4,8,1157.22851,12,1487.12598,16,1822.73633,20,2269.08525
1,11172.0143,11172.0143,4,30,823.75848,45.33333,1163.9488,60.66667,1523.42575,76,1918.3966
1,51.747,51.747,4,8,1131.23082,12,1455.62241,16,1805.10095,20,2196.47386
1,51.747,51.747,4,8,1131.23082,12,1455.62241,16,1805.10095,20,2196.47386
1,11172.0143,11172.0143,4,30,751.26977,45.33333,1075.05834,60.66667,1401.47249,76,1819.68454
1,11172.0143,11172.0143,4,30,751.26977,45.33333,1075.05834,60.66667,1401.47249,76,1819.68454
1,5665.23443,5665.23443,4,22,1116.10638,33,1492.56031,44,1897.96238,55,2366.39182
1,5665.23443,5665.23443,4,22,1116.10638,33,1492.56031,44,1897.96238,55,2366.39182
1,28046.681,28046.681,4,170,5170.31357,231.66667,6688.64875,293.33333,8361.5981,355,10458.8375
1,5665.23443,5665.23443,4,22,1122.43477,33,1417.43201,44,1742.48912,55,2075.88432
1,5665.23443,5665.23443,4,22,1122.43477,33,1417.43201,44,1742.48912,55,2075.88432
1,5665.23443,5665.23443,4,22,1216.84757,33,1501.96739,44,1800.72745,55,2160.80453
1,5665.23443,5665.23443,4,22,1216.84757,33,1501.96739,44,1800.72745,55,2160.80453
1,22784.7956,22784.7956,4,62,1426.14416,93,2001.92316,124,2679.08278,155,3412.47031
1,28046.681,28046.681,4,170,7523.51994,231.66667,8815.08767,293.33333,10151.4815,355,11987.1952
1,28046.681,28046.681,4,170,4551.1183,231.66667,5977.40411,293.33333,7600.7331,355,9828.37578
1,22784.7956,22784.7956,4,62,1422.99854,93,2013.06389,124,2623.44468,155,3256.43459
1,22784.7956,22784.7956,4,62,1422.99854,93,2013.06389,124,2623.44468,155,3256.43459
1,36749.8136,36749.8136,4,140,3323.31912,210,4643.59043,280,6258.48853,350,7981.70748
1,5665.23443,5665.23443,4,22,1692.75992,33,2103.03655,44,2540.25162,55,2996.75119
1,5665.23443,5665.23443,4,22,1692.75992,33,2103.03655,44,2540.25162,55,2996.75119
1,5665.23443,5665.23443,4,22,1692.75992,33,2103.03655,44,2540.25162,55,2996.75119
1,51.747,51.747,4,8,1208.23035,12,1557.25352,16,1956.0366,20,2377.50557
1,51.747,51.747,4,8,1208.23035,12,1557.25352,16,1956.0366,20,2377.50557
1,5665.23443,5665.23443,4,22,1119.44162,33,1432.61161,44,1754.76108,55,2235.93283
1,5665.23443,5665.23443,4,22,1119.44162,33,1432.61161,44,1754.76108,55,2235.93283
1,51.747,51.747,4,8,1208.23035,12,1557.25352,16,1956.0366,20,2377.50557
1,51.747,51.747,4,8,1208.23035,12,1557.25352,16,1956.0366,20,2377.50557
1,5665.23443,5665.23443,4,22,1316.56254,33,1688.27018,44,2110.47669,55,2535.46257
1,5665.23443,5665.23443,4,22,1316.56254,33,1688.27018,44,2110.47669,55,2535.46257
1,5665.23443,5665.23443,4,22,1141.93307,33,1448.77467,44,1770.19723,55,2160.4197
1,5665.23443,5665.23443,4,22,1141.93307,33,1448.77467,44,1770.19723,55,2160.4197
1,28046.681,28046.681,4,170,5243.00459,231.66667,6213.11865,293.33333,7863.05566,355,9944.47408
1,703.7592,703.7592,4,5,745.67427,7.33333,921.69342,9.66667,1155.95898,12,1445.52485
1,703.7592,703.7592,4,5,745.67427,7.33333,921.69342,9.66667,1155.95898,12,1445.52485
1,703.7592,703.7592,4,5,745.67427,7.33333,921.69342,9.66667,1155.95898,12,1445.52485
1,703.7592,703.7592,4,5,745.67427,7.33333,921.69342,9.66667,1155.95898,12,1445.52485
1,703.7592,703.7592,4,5,745.67427,7.33333,921.69342,9.66667,1155.95898,12,1445.52485
1,5665.23443,5665.23443,4,22,884.43584,33,1174.85782,44,1470.71025,55,1821.1237
1,5665.23443,5665.23443,4,22,884.43584,33,1174.85782,44,1470.71025,55,1821.1237
